$FLYS,1,,,,,,,,,,
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol,,,,,,,,,
$VAR,DEVICE_ID,0017003b3253501720373657,,,,,,,,,
$VAR,SESSION_ID,0734cf84a366e610ee699e39,,,,,,,,,
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc
$UNIT,GNSS,,deg,deg,m,m/s,m/s,m/s,m,m,m/s
$DATA,,,,,,,,,,,
$GNSS,2025-07-23T15:36:42.450Z,40.271013,-111.6169811,2370.979,-6.032,-0.868,17.197,0.448,0.836,0.285,16
$GNSS,2025-07-23T15:36:42.500Z,40.27101,-111.6169817,2370.052,-6.418,-0.917,17.754,0.448,0.836,0.263,16
$GNSS,2025-07-23T15:36:42.550Z,40.2710071,-111.6169824,2369.122,-6.468,-1.08,18.134,0.448,0.836,0.261,16
$GNSS,2025-07-23T15:36:42.600Z,40.2710041,-111.6169832,2368.191,-6.575,-1.26,18.33,0.448,0.836,0.261,16
$GNSS,2025-07-23T15:36:42.650Z,40.271001,-111.616984,2367.248,-6.835,-1.404,18.523,0.448,0.836,0.273,16
$GNSS,2025-07-23T15:36:42.700Z,40.2709979,-111.6169848,2366.276,-6.993,-1.356,18.889,0.448,0.835,0.274,16
$GNSS,2025-07-23T15:36:42.750Z,40.2709947,-111.6169858,2365.301,-7.052,-1.519,19.103,0.448,0.835,0.274,16
$GNSS,2025-07-23T15:36:42.800Z,40.2709915,-111.6169867,2364.31,-7.128,-1.593,19.408,0.449,0.835,0.273,16
$GNSS,2025-07-23T15:36:42.850Z,40.2709881,-111.6169878,2363.29,-7.412,-1.743,19.774,0.449,0.835,0.274,16
$GNSS,2025-07-23T15:36:42.900Z,40.2709847,-111.6169889,2362.262,-7.559,-1.775,20.119,0.449,0.835,0.252,16
$GNSS,2025-07-23T15:36:42.950Z,40.2709811,-111.6169902,2361.241,-7.725,-2.068,20.421,0.449,0.835,0.249,16
$GNSS,2025-07-23T15:36:43.000Z,40.2709775,-111.6169915,2360.192,-8.059,-2.144,20.701,0.449,0.834,0.247,16
$GNSS,2025-07-23T15:36:43.050Z,40.2709737,-111.6169929,2359.155,-8.28,-2.222,20.835,0.449,0.834,0.247,16
$GNSS,2025-07-23T15:36:43.100Z,40.2709698,-111.6169944,2358.07,-8.498,-2.495,21.24,0.449,0.833,0.248,16
$GNSS,2025-07-23T15:36:43.150Z,40.270966,-111.6169959,2357,-8.587,-2.532,21.35,0.449,0.833,0.247,16
$GNSS,2025-07-23T15:36:43.200Z,40.270962,-111.6169975,2355.91,-8.658,-2.677,21.654,0.449,0.832,0.246,16
$GNSS,2025-07-23T15:36:43.250Z,40.2709579,-111.6169992,2354.802,-9.096,-2.892,21.966,0.45,0.832,0.247,16
$GNSS,2025-07-23T15:36:43.300Z,40.2709537,-111.6170009,2353.687,-9.366,-2.966,22.089,0.45,0.831,0.246,16
$GNSS,2025-07-23T15:36:43.350Z,40.2709494,-111.6170028,2352.571,-9.501,-3.232,22.158,0.45,0.83,0.245,16
$GNSS,2025-07-23T15:36:43.400Z,40.270945,-111.6170049,2351.444,-9.726,-3.537,22.379,0.45,0.83,0.243,16
$GNSS,2025-07-23T15:36:43.450Z,40.2709405,-111.617007,2350.317,-9.898,-3.559,22.484,0.449,0.829,0.239,16
$GNSS,2025-07-23T15:36:43.500Z,40.2709358,-111.6170094,2349.177,-10.217,-3.86,22.703,0.449,0.829,0.238,16
$GNSS,2025-07-23T15:36:43.550Z,40.2709311,-111.6170117,2348.022,-10.598,-3.974,22.889,0.45,0.829,0.24,16
$GNSS,2025-07-23T15:36:43.600Z,40.2709261,-111.6170142,2346.885,-10.808,-4.225,22.887,0.45,0.828,0.242,16
$GNSS,2025-07-23T15:36:43.650Z,40.2709212,-111.617017,2345.732,-10.957,-4.582,23,0.45,0.828,0.242,16
$GNSS,2025-07-23T15:36:43.700Z,40.2709161,-111.6170199,2344.581,-11.255,-4.994,23.108,0.45,0.828,0.23,16
$GNSS,2025-07-23T15:36:43.750Z,40.270911,-111.6170229,2343.42,-11.231,-5.012,23.176,0.45,0.828,0.229,16
$GNSS,2025-07-23T15:36:43.800Z,40.2709057,-111.6170259,2342.269,-11.705,-5.181,23.165,0.45,0.828,0.23,16
$GNSS,2025-07-23T15:36:43.850Z,40.2709003,-111.6170292,2341.112,-11.976,-5.462,23.278,0.45,0.828,0.23,16
$GNSS,2025-07-23T15:36:43.900Z,40.2708947,-111.6170326,2339.977,-12.172,-5.702,23.341,0.45,0.828,0.213,16
$GNSS,2025-07-23T15:36:43.950Z,40.2708892,-111.6170361,2338.803,-12.184,-6.071,23.36,0.45,0.828,0.215,16
$GNSS,2025-07-23T15:36:44.000Z,40.2708837,-111.6170399,2337.628,-12.304,-6.441,23.368,0.45,0.829,0.218,16
$GNSS,2025-07-23T15:36:44.050Z,40.270878,-111.6170439,2336.438,-12.539,-6.835,23.592,0.45,0.828,0.206,16
$GNSS,2025-07-23T15:36:44.100Z,40.2708722,-111.6170482,2335.234,-12.916,-7.207,23.789,0.45,0.828,0.205,16
$GNSS,2025-07-23T15:36:44.150Z,40.2708663,-111.6170525,2334.051,-13.017,-7.368,23.747,0.45,0.829,0.221,16
$GNSS,2025-07-23T15:36:44.200Z,40.2708605,-111.617057,2332.864,-13.042,-7.707,23.746,0.45,0.829,0.224,16
$GNSS,2025-07-23T15:36:44.250Z,40.2708545,-111.6170619,2331.683,-13.298,-8.218,23.741,0.45,0.829,0.212,16
$GNSS,2025-07-23T15:36:44.300Z,40.2708485,-111.6170668,2330.51,-13.254,-8.417,23.67,0.45,0.828,0.205,16
$GNSS,2025-07-23T15:36:44.350Z,40.2708424,-111.617072,2329.324,-13.581,-8.705,23.619,0.45,0.828,0.209,16
$GNSS,2025-07-23T15:36:44.400Z,40.2708361,-111.6170772,2328.141,-13.951,-8.932,23.624,0.45,0.828,0.206,16
$GNSS,2025-07-23T15:36:44.450Z,40.2708297,-111.6170828,2326.956,-14.035,-9.334,23.709,0.45,0.827,0.205,16
$GNSS,2025-07-23T15:36:44.500Z,40.2708233,-111.6170886,2325.777,-13.98,-9.787,23.726,0.45,0.827,0.21,16
$GNSS,2025-07-23T15:36:44.550Z,40.2708169,-111.6170945,2324.6,-14.137,-10.038,23.657,0.45,0.827,0.21,16
